,Username,TH link,Gene,Past Forms,Level,XP,Damage (heath/10),Tools x use,Myo?
324,lolzerous,324 on Toyhouse,Elementary,,1,0/5,10/10,,No
325,KandaharStat1c,325 on Toyhouse,Elementary,,15,16/30,3/10,Campfire x6,No
326,aj.artvoid,326 on Toyhouse,Elementary,,1,1/5,10/10,,Yes
327,bone_guts,327 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
328,bone_guts,328 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
329,bone_guts,329 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
330,willow._pillow,330 on Toyhouse,Elementary,,1,0/5,10/10,,No
331,willow._pillow,331 on Toyhouse,Elementary,,1,0/5,10/10,,No
332,ghost_rot,332 on Toyhouse,Elementary,,1,0/5,10/10,,No
333,ghost_rot,333 on Toyhouse,Elementary,,1,0/5,10/10,,No
334,_crims0n.mamaart_,334 on Toyhouse,Elementary,,2,1/5,10/10,,No
335,eepiiin,335 on Toyhouse,Elementary,,1,0/5,10/10,,No
336,Liabunnart,336 on Toyhouse,Elementary,,1,0/5,10/10,,No
337,sleepy._armadillo,337 on Toyhouse,Elementary,,5,2/10,10/10,Lesser Pickaxe x2,No
338,gacha_alihorn,338 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
339,gacha_alihorn,339 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
340,gacha_alihorn,340 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
341,gacha_alihorn,341 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
342,gacha_alihorn,342 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
343,aj.artvoid,343 on Toyhouse,Earth - Slime ,,10,15/26,4/10,"Lesser Pickaxe x3
Campfire x9",No
344,lazuu.uwu_art,344 on Toyhouse,Air - Ghost,Elementary,10,12/26,10/10,,No
345,lazuu.uwu_art,345 on Toyhouse,Earth - Plant,Elementary ,15,8/30,8/10,hoe x9,No
346,lazuu.uwu_art,346 on Toyhouse,Water - Water,Elementary,7,13/15,10/10,,No
347,bone_guts,347 on Toyhouse,Elementary,,4,6/8,10/10,Greater Pickaxe x10,No
348,bone_guts,348 on Toyhouse,Elementary,,5,4/10,10/10,Greater Pickaxe x1,No
349,bone_guts,349 on Toyhouse,Elementary,,6,0/12,10/10,,No
350,hotsauceninjaanimations,350 on Toyhouse,Elementary,,2,0/5,10/10,,No
351,hotsauceninjaanimations ,351 on Toyhouse,Elementary,,1,0/5,10/10,,No
352,eepiiin,352 on Toyhouse,Elementary,,1,1/5,10/10,,No
353,_Meowzie_,353 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
354,nyxoom_draws,354 on Toyhouse,Fire - Light ,Elementary ,7,3/15,9/10,"Anvil x9
",No
355,Diino.Miilk,355 on Toyhouse,Elementary,,5,7/10,10/10,,No
356,baileisincream,356 on Toyhouse,Elementary,,6,11/12,1/10,"Campfire x9
Greater Pickaxe x10
Fishing Pole x5",No
357,stupid_zwei,357 on Toyhouse,Elementary,,1,0/5,10/10,,No
358,lavendrye_skies,358 on Toyhouse,Elementary,,1,0/5,10/10,,No
359,that.one.hyena,359 on Toyhouse,Elementary,,1,0/5,10/10,,No
360,_Meowzie_,360 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
361,Sunflowerchaos,361 on Toyhouse,Elementary,,1,0/5,10/10,,No
362,_Rai.__.Star_,362 on Toyhouse,Elementary,,1,0/5,10/10,,No
363,_d3f4ult_art_,363 on Toyhouse,Elementary,,10,0/26,10/10,,No
364,Mvtt_Gutz,364 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
365,neighborlynarwhal,365 on Toyhouse,Elementary,,14,26/30,6/10,,No
366,fuyunofabuki.arts,366 on Toyhouse,Elementary,,1,0/5,9/10,,Yes
367,lilwalfy,367 on Toyhouse,Elementary,,1,1/5,10/10,,No
368,Honey_arcus,368 on Toyhouse,Elementary,,9,6/22,10/10,,No
369,Honey_arcus,369 on Toyhouse,Elementary,,11,19/25,10/10,,No
370,Honey_arcus,370 on Toyhouse,Elementary,,1,2/5,10/10,,Yes
371,Honey_arcus,371 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
372,Honey_arcus,372 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
373,Honey_arcus,373 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
374,Honey_arcus,374 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
375,quollian,375 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
376,quollian,376 on Toyhouse,Elementary,,1,0/5,10/10,,No
377,quollian,377 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
378,gd.s_world,378 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
379,Captain.niki_shadow,379 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
380,Captain.niki_shadow,380 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
381,Zesmolnuggeto ,381 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
382,Zesmolnuggeto ,382 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
383,Zesmolnuggeto ,383 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
384,Zesmolnuggeto ,384 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
385,Zesmolnuggeto ,385 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
386,Zesmolnuggeto ,386 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
387,lilwalfy,387 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
388,Cifurmind,388 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
389,stwabby_roomz,389 on Toyhouse,Elementary,,6,1/12,5/10,,No
390,Keshomi,390 on Toyhouse,Elementary,,1,1/5,10/10,,Yes
391,Keshomi,391 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
392,fish_b1te,392 on Toyhouse,Elementary,,10,1 - 8/26,10/10,"
Greater Pickaxe x36",No
393,fish_b1te,393 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
394,fish_b1te,394 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
395,fish_b1te,395 on Toyhouse,Abyssius,N/A,1,1/5,10/10,,Yes
396,eddlydeddly,396 on Toyhouse,Elementary,,1,2/5,10/10,,Yes
397,lark_barks,397 on Toyhouse,Elementary,,9,1/22,10/10,,No
398,larks_barks,398 on Toyhouse,Elementary,,9,17/22,10/10,,No
399,jill_likes_art,399 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
400,jill_likes_art,400 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
401,jill_likes_art,401 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
402,zak_5670,402 on Toyhouse,Elementary,,3,1/6,10/10,,no
403,dead_.luna,403 on Toyhouse,Elementary,,1,0/5,10/10,,No
404,the_indigo_arrow,404 on Toyhouse,Elementary,,1,0/5,10/10,,No
405,_meowzie_,405 on Toyhouse,Elementary,,1,0/5,10/10,,no
406,Nini.cosmosart,406 on Toyhouse,Elementary,,1,0/5,10/10,,no
407,bone_guts,407 on Toyhouse,Elementary,,1,0/5,10/10,,no
408,__Rai.__.Star__,408 on Toyhouse,Elementary,,1,0/5,10/10,,no
409,lark_barks,409 on Toyhouse,Elementary,,1,2/5,9/10,,yes
410,demi.rat__,410 on Toyhouse,Elementary,,1,0/5,10/10,,no
411,thefishofthecat ,411 on Toyhouse,Air,Elementary,9,9/22,8/10,"Greater Pickaxe x9 
Fishing Pole x3
Campfire x8
Pot x5",No
412,thefishofthecat ,412 on Toyhouse,Elementary,,8,1/18,5/10,,No
413,sleepy._armadillo,413 on Toyhouse,Elementary,,1,0/5,10/10,,No
414,mixies_sketchbook,414 on Toyhouse,Elementary,,1,4/5,10/10,,no
415,mixies_sketchbook,415 on Toyhouse,Elementary,,1,0/5,10/10,,no
416,cleetus.piss,416 on Toyhouse,Elementary,,1,0/5,10/10,,no
417,bergierpants ,417 on Toyhouse,Elementary,,1,0/5,10/10,,no
418,Crash_pilot,418 on Toyhouse,Elementary,,5,7/10,6/10,,no
419,bergierpants,419 on Toyhouse,Elementary,,1,0/5,10/10,,no
420,snowdall501,420 on Toyhouse,Elementary,,1,0/5,10/10,,no
421,Buniiezz,421 on Toyhouse,Elementary,,1,0/5,10/10,,yes
422,Buniiezz,422 on Toyhouse,Elementary,,2,0/5,10/10,,no
423,tsunamii_seas,423 on Toyhouse,Elementary,,1,0/5,10/10,,No
424,Buniiezz,424 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
425,Buniiezz,425 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
426,Buniiezz,426 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
427,Buniiezz,427 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
428,lavendrye_skies,428 on Toyhouse,Elementary,,1,0/5,10/10,,No
429,N/A,429 on Toyhouse,Elementary,,1,0/5,10/10,,No
430,demi.rat_,430 on Toyhouse,Elementary,,1,0/5,10/10,,No
431,nyxoom_draws,431 on Toyhouse,Earth - Plant,Elementary ,7,0/15,8/10,"Greater Pickaxe x4
Pot x8",No
432,uncannymutt_,432 on Toyhouse,Elementary,,1,0/5,10/10,,No
433,Chaotic_Clueless,433 on Toyhouse,Elementary,,5,4/10,10/10,,No
434,baileisincream,434 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
435,baileisincream,435 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,Yes
436,baileisincream,436 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
437,baileisincream,437 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,Yes
438,baileisincream,438 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
439,cawffeejelly,439 on Toyhouse,Cupid,N/A,1,0/5,10/10,,Yes
440,luckymuffincat,440 on Toyhouse,Elementary,,6,7/12,10/10,,no
441,ghostlytwickster,441 on Toyhouse,Elementary,,4,7/8,9/10,,no
442,sketchy.pigeon,442 on Toyhouse,Air-Ghost,,9,16/22,1/10,,no
443,the_big_dumb_of_art,443 on Toyhouse,Elementary,,1,0/5,10/10,,yes
444,phantillyc,444 on Toyhouse,Elementary,,6,8/12,9/10,,no
445,hamcat,445 on Toyhouse,Elementary,,6,1/12,10/10,,no
446,darothewolf,446 on Toyhouse,Elementary,,8,11/18,10/10,,no
447,StarryMapleBar.cs,447 on Toyhouse,Elementary,,1,0/5,10/10,,no
448,lvlupmushroom,448 on Toyhouse,Elementary,,1,1/5,10/10,,no
449,bergierpants,449 on Toyhouse,Elementary,,7,9/15,10/10,,no
450,mixuen,450 on Toyhouse,Elementary,,5,4/10,10/10,Greater Pickaxe x1,no
451,n/a ,451 on Toyhouse,Elementary,,1,1/5,10/10,,no
452,FrostArtsStudios,452 on Toyhouse ,Elementary,,14,11/30,7/10,"Anvil x9
Hoe x3
Pot of Water x2",no
453,sleepy._armadillo,453 on Toyhouse,Elementary,,1,0/5,10/10,,no
454,raeya_draws,454 on Toyhouse,Elementary,,7,3/15,7/10,Greater pickaxe x5,no
455,chaos_knight_linkle,455 on Toyhouse,Elementary,,1,0/5,10/10,,no
456, gummymoth,456 on Toyhouse,Elementary,,1,0/5,10/10,,no
457,trystaa,457 on Toyhouse,Elementary,,1,0/5,10/10,,no
458,my.bixie,458 on Toyhouse,Elementary,,1,0/5,10/10,,no
459,vinny._.kitty,459 on Toyhouse,Elementary,,5,2/10,10/10,,no
460,palikomink,460 on Toyhouse,Elementary,,7,9/15,4/10,Greater Fishing Pole x9,no
461,trystaa,461 on Toyhouse,Elementary,,1,0/5,10/10,,no
462,starlight._.child,462 on Toyhouse,Elementary,,1,0/5,10/10,,yes
463,Slerral._.artz,463 on Toyhouse,Elementary,,1,0/5,10/10,,no
464,demi.rat__,464 on Toyhouse,Elementary,,1,0/5,10/10,,no
465,_crims0n.mamaart_,465 on Toyhouse,Elementary,,3,2/6,10/10,Greater Pickaxe x10,no
466,korkikorel,466 on Toyhouse,Elementary,,6,10/12,10/10,Greater Pickaxe x9,no
467,diino.miilk,467 on Toyhouse,Elementary,,3,3/6,10/10,,no
468,aduidraws,468 on Toyhouse,Elementary,,1,0/5,10/10,,no
469,mars_r1ver ,469 on Toyhouse,Elementary,,1,0/5,10/10,,No
470,bro___boi,470 on Toyhouse,Air-Ghost,Elementary,8,8/18,10/10,,No
471,_0_Strawberrymilk_0_,471 on Toyhouse,Air-Ghost,Elementary ,7,0/15,9/10,,No
472,Jill_likes_art ,472 on Toyhouse,Elementary,,1,0/5,10/10,,no
473,Diino.Miilk,473 on Toyhouse,Elementary,,1,2/5,10/10,,no
474,smolowls,474 on Toyhouse,Elementary,,1,0/5,10/10,,no
475,smolowls,475 on Toyhouse,Elementary,,1,0/5,10/10,,no
476,jill_likes_art,476 on Toyhouse,Elementary,,1,0/5,10/10,,no
477,willem_dafoe_official,477 on Toyhouse,Earth-Slime,Elementary,10,14/26,6/10,"Anvil x7
",no
478,Willem_dafoe_official,478 on Toyhouse,Elementary,,1,4/5,10/10,,no
479,kandaharstat1c,479 on Toyhouse,Elementary,,13,13/30,1/10,Campfire x2,no
480,_pumpkin_patxh_,480 on Toyhouse,Elementary,,3,2/6,10/10,,no
481,_pumpkin_patxh_,481 on Toyhouse,Elementary,,1,2/5,10/10,,no
482,fox_fauna_,482 on Toyhouse,Elementary,,1,0/5,10/10,,no
483,_crims0n.mamaart_,483 on Toyhouse,Elementary,,1,0/5,10/10,,no
484,,484 on Toyhouse,Elementary,,1,1/5,10/10,,no
485,puppett_on_a_string_2.0,485 on Toyhouse,Elementary,,1,0/5,10/10,,no
486,starryhoneybeez._,486 on Toyhouse,Elementary,,1,0/5,10/10,,no
487,Chaotic_Clueless,487 on Toyhouse,Air-Cosmic,Elementary,5,0/10,10/10,,no
488,risk_of_systematic_chaos,488 on Toyhouse,Elementary,,1,0/5,10/10,,no
489,Diino.Miilk,489 on Toyhouse,Elementary,,1,3/5,10/10,,no
490,mixies_sketchbook,490 on Toyhouse,Desert,,15,11/30,8/10,Campfire x6  ,no
491,risk_of_systematic_chaos,491 on Toyhouse,Elementary,,1,2/5,10/10,,no
492,_infamous_comedown_ok,492 on Toyhouse,Elementary,,1,0/5,10/10,,no
493,_infamous_comedown_ok,493 on Toyhouse,Elementary,,1,0/5,10/10,,no
494,the_kid_in_the_corner15,494 on Toyhouse,Earth-Slime,Elementary ,10,9/26,1/10,"Hoe x4
Campfire x4
pot x9
Lesser Pickaxe x7",no
495,fuyna.lullaby,495 on Toyhouse,Elementary,,3,2/6,10/10,,no
496,Zesmolnuggeto ,496 on Toyhouse,Elementary,,1,0/5,10/10,,No
497,s3w3rr0ach,497 on Toyhouse,Elementary,,1,0/5,10/10,,No
498,raeya_draws,498 on Toyhouse,Elementary,,10,0/26,10/10,,No
499,nyxoom_draws,499 on Toyhouse,Elementary,,5,1/10,10/10,,No
500,liabunnart,500 on Toyhouse,Elementary,,1,0/5,10/10,,yes
